BC Lions,26,
BC Lions,27,
BC Lions,14,
BC Lions,16,
BC Lions,21,
BC Lions,20,
BC Lions,31,
BC Lions,22,
BC Lions,29,
BC Lions,7,
BC Lions,27,
BC Lions,5,
BC Lions,23,
BC Lions,29,
BC Lions,20,
BC Lions,9,
BC Lions,40,
BC Lions,3,
BC Lions,33,
BC Lions,32,
BC Lions,30,
Calgary Stampeders,29,
Calgary Stampeders,34,
Calgary Stampeders,22,
Calgary Stampeders,32,
Calgary Stampeders,33,
Calgary Stampeders,27,
Calgary Stampeders,27,
Calgary Stampeders,11,
Calgary Stampeders,26,
Calgary Stampeders,25,
Calgary Stampeders,20,
Calgary Stampeders,8,
Calgary Stampeders,7,
Calgary Stampeders,25,
Calgary Stampeders,17,
Calgary Stampeders,13,
Calgary Stampeders,33,
Calgary Stampeders,7,
Calgary Stampeders,27,
Calgary Stampeders,18,
Calgary Stampeders,18,
Calgary Stampeders,16,
Calgary Stampeders,23,
Calgary Stampeders,20,
Calgary Stampeders,25,
Edmonton Eskimos,31,
Edmonton Eskimos,22,
Edmonton Eskimos,7,
Edmonton Eskimos,39,
Edmonton Eskimos,17,
Edmonton Eskimos,34,
Edmonton Eskimos,30,
Edmonton Eskimos,47,
Edmonton Eskimos,30,
Edmonton Eskimos,27,
Edmonton Eskimos,14,
Edmonton Eskimos,24,
Edmonton Eskimos,11,
Edmonton Eskimos,26,
Edmonton Eskimos,27,
Edmonton Eskimos,41,
Edmonton Eskimos,16,
Edmonton Eskimos,0,
Edmonton Eskimos,9,
Edmonton Eskimos,3,
Edmonton Eskimos,10,
Edmonton Eskimos,24,
Edmonton Eskimos,17,
Edmonton Eskimos,3,
Saskatchewan Roughriders,25,
Saskatchewan Roughriders,24,
Saskatchewan Roughriders,31,
Saskatchewan Roughriders,21,
Saskatchewan Roughriders,24,
Saskatchewan Roughriders,0,
Saskatchewan Roughriders,21,
Saskatchewan Roughriders,9,
Saskatchewan Roughriders,14,
Saskatchewan Roughriders,30,
Saskatchewan Roughriders,25,
Saskatchewan Roughriders,23,
Saskatchewan Roughriders,10,
Saskatchewan Roughriders,26,
Saskatchewan Roughriders,9,
Saskatchewan Roughriders,11,
Saskatchewan Roughriders,30,
Saskatchewan Roughriders,32,
Saskatchewan Roughriders,31,
Saskatchewan Roughriders,24,
Saskatchewan Roughriders,17,
Saskatchewan Roughriders,30,
Saskatchewan Roughriders,42,
Saskatchewan Roughriders,27,
Saskatchewan Roughriders,31,
Winnipeg Blue Bombers,24,
Winnipeg Blue Bombers,13,
Winnipeg Blue Bombers,38,
Winnipeg Blue Bombers,35,
Winnipeg Blue Bombers,53,
Winnipeg Blue Bombers,35,
Winnipeg Blue Bombers,37,
Winnipeg Blue Bombers,37,
Winnipeg Blue Bombers,26,
Winnipeg Blue Bombers,37,
Winnipeg Blue Bombers,24,
Winnipeg Blue Bombers,21,
Winnipeg Blue Bombers,28,
Winnipeg Blue Bombers,26,
Winnipeg Blue Bombers,23,
Winnipeg Blue Bombers,16,
Winnipeg Blue Bombers,30,
Winnipeg Blue Bombers,16,
Winnipeg Blue Bombers,33,
Winnipeg Blue Bombers,28,
Winnipeg Blue Bombers,52,
Winnipeg Blue Bombers,23,
Hamilton Tiger-Cats,29,
Hamilton Tiger-Cats,0,
Hamilton Tiger-Cats,30,
Hamilton Tiger-Cats,26,
Hamilton Tiger-Cats,20,
Hamilton Tiger-Cats,35,
Hamilton Tiger-Cats,32,
Hamilton Tiger-Cats,18,
Hamilton Tiger-Cats,14,
Hamilton Tiger-Cats,24,
Hamilton Tiger-Cats,23,
Hamilton Tiger-Cats,23,
Hamilton Tiger-Cats,27,
Hamilton Tiger-Cats,30,
Hamilton Tiger-Cats,12,
Hamilton Tiger-Cats,3,
Hamilton Tiger-Cats,23,
Hamilton Tiger-Cats,17,
Hamilton Tiger-Cats,6,
Hamilton Tiger-Cats,15,
Hamilton Tiger-Cats,24,
Toronto Argonauts,20,
Toronto Argonauts,20,
Toronto Argonauts,34,
Toronto Argonauts,39,
Toronto Argonauts,12,
Toronto Argonauts,33,
Toronto Argonauts,33,
Toronto Argonauts,35,
Toronto Argonauts,21,
Toronto Argonauts,23,
Toronto Argonauts,36,
Toronto Argonauts,23,
Toronto Argonauts,15,
Toronto Argonauts,34,
Toronto Argonauts,21,
Toronto Argonauts,33,
Toronto Argonauts,32,
Toronto Argonauts,33,
Toronto Argonauts,20,
Toronto Argonauts,24,
Toronto Argonauts,5,
Toronto Argonauts,34,
Toronto Argonauts,11,
Montreal Alouettes,33,
Montreal Alouettes,37,
Montreal Alouettes,19,
Montreal Alouettes,22,
Montreal Alouettes,12,
Montreal Alouettes,27,
Montreal Alouettes,38,
Montreal Alouettes,34,
Montreal Alouettes,38,
Montreal Alouettes,5,
Montreal Alouettes,26,
Montreal Alouettes,9,
Montreal Alouettes,34,
Montreal Alouettes,31,
Montreal Alouettes,33,
Montreal Alouettes,10,
Montreal Alouettes,31,
Montreal Alouettes,15,
Montreal Alouettes,9,
Montreal Alouettes,14,
Montreal Alouettes,17,
Montreal Alouettes,30,
Montreal Alouettes,20,
Montreal Alouettes,11,
Montreal Alouettes,13,
Ottawa REDBLACKS,21,
Ottawa REDBLACKS,17,
Ottawa REDBLACKS,38,
Ottawa REDBLACKS,10,
Ottawa REDBLACKS,32,
Ottawa REDBLACKS,7,
Ottawa REDBLACKS,15,
Ottawa REDBLACKS,20,
Ottawa REDBLACKS,23,
Ottawa REDBLACKS,34,
Ottawa REDBLACKS,16,
Ottawa REDBLACKS,23,
Ottawa REDBLACKS,26,
